cruise,permit,year,observer,vessel_name,gear_desc,haul_date,haul,size_est,visual_cue,total_haul_pss,census,sex_obs,photo_taken,wt,pcl,specimen_yn,specimen_num,notes,notes2,trip_join,haul_join,nmfs_area,gear,gear_description,performance,performance_description,official_total_catch_mt,vessel,vessel_length_ft,ifq_flag,duration_min,bottom_depth_fathoms,fishing_depth_fathoms,lat_dd_start,lon_dd_start,lat_dd_end,lon_dd_end,t_table,haul_seq,sample_type,percent_retained,date_of_entry,species_code,species_name,sex,sample_size,sample_number,sample_weight_kg,extrapolated_number,extrapolated_weight_kg,received_from_norpac,loaded_to_repository,sampID,ncf_lat,ncf_lon
25343,3672,2022,Rory Morgan,Frontier Mariner,NA,2022-03-24,140,L,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,'25343003672000000005','25343003672000000140',521,8,LONGLINER,1,NO PROBLEM,31.44,A100,135,N,1294.8,63,NA,57.41667,-172.65,57.41667,-172.65,ATL,140,L,0,12-Jul-22,62,PACIFIC SLEEPER SHARK,NA,6237,2,38.02,6,112.66,11-Jul-22,13-Jul-22,62_2022_25343_3672_140_42,57.3707566551,-172.767665221
25343,3672,2022,Rory Morgan,Frontier Mariner,NA,2022-03-24,140,M,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,'25343003672000000005','25343003672000000140',521,8,LONGLINER,1,NO PROBLEM,31.44,A100,135,N,1294.8,63,NA,57.41667,-172.65,57.41667,-172.65,ATL,140,L,0,12-Jul-22,62,PACIFIC SLEEPER SHARK,NA,6237,2,38.02,6,112.66,11-Jul-22,13-Jul-22,62_2022_25343_3672_140_43,57.3707566551,-172.767665221
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-08,144,S,NA,1,Y,2,NA,11.96,94,N,NA,NA,NA,'22769004450000000019','22769004450000001356',521,8,LONGLINER,1,NO PROBLEM,18.74,A553,135,N,1279.2,66,NA,59.07167,-174.44167,59.26167,-174.44167,ATL,1356,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,6210,1,11.96,3,47.65,11-Jul-22,13-Jul-22,62_2018_22769_4450_144_44,59.3350625928,-174.534642509
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-18,154,M,2,2,N,2,NA,NA,171,N,NA,NA,NA,'22769004450000000020','22769004450000001376',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,21.93,A553,135,N,1524,65,NA,59.35333,-174.18,59.15167,-174.40667,ATL,1376,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,8388,1,16.08,3,47.35,11-Jul-22,13-Jul-22,62_2018_22769_4450_154_45,59.1646163674,-174.4278621
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-23,162,M,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22769004450000000020','22769004450000001392',521,8,LONGLINER,1,NO PROBLEM,14.13,A553,135,N,1552.8,61,NA,59.22167,-174.19667,59.43167,-173.95667,ATL,1392,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,8388,1,16.08,3,47.35,11-Jul-22,13-Jul-22,62_2018_22769_4450_162_46,59.4280449707,-173.951136428
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-27,169,S,NA,1,Y,2,NA,19.14,100,N,NA,NA,NA,'22769004450000000020','22769004450000001406',521,8,LONGLINER,1,NO PROBLEM,14.79,A553,135,N,1609.8,60,NA,59.205,-174.02167,59.41667,-173.78167,ATL,1406,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,8424,1,19.14,3,47.35,11-Jul-22,13-Jul-22,62_2018_22769_4450_169_47,59.4280449707,-173.951136428
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-01,179,S,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22769004450000000020','22769004450000001426',521,8,LONGLINER,1,NO PROBLEM,12.85,A553,135,N,915,63,NA,59.41667,-174.16167,59.27833,-174.32167,ATL,1426,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5496,1,16.08,3,46.91,11-Jul-22,13-Jul-22,62_2018_22769_4450_179_48,59.2965519505,-174.190430256
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-02,183,S,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22769004450000000020','22769004450000001434',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,6.85,A553,135,N,1662,61,NA,59.265,-174.29833,59.41833,-174.12833,ATL,1434,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,4809,1,16.08,4,56.67,11-Jul-22,13-Jul-22,62_2018_22769_4450_183_49,59.4280449707,-173.951136428
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-05,191,S,NA,1,Y,NA,NA,NA,95,N,NA,NA,NA,'22769004450000000020','22769004450000001450',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,11.02,A553,135,N,1729.8,65,NA,59.28833,-174.62833,59.435,-174.46167,ATL,1450,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5448,1,12.98,3,48.25,11-Jul-22,13-Jul-22,62_2018_22769_4450_191_50,59.4671810872,-174.296424028
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-06,192,S,2,2,Y,NA,NA,NA,NA,N,NA,NA,NA,'22769004450000000020','22769004450000001452',521,8,LONGLINER,1,NO PROBLEM,10.61,A553,135,N,1707,65,NA,59.30333,-174.565,59.44667,-174.40333,ATL,1452,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5448,3,45.09,9,140.72,11-Jul-22,13-Jul-22,62_2018_22769_4450_192_51,59.4671810872,-174.296424028
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-06,192,S,NA,2,Y,2,NA,12.93,93,N,NA,NA,NA,'22769004450000000020','22769004450000001452',521,8,LONGLINER,1,NO PROBLEM,10.61,A553,135,N,1707,65,NA,59.30333,-174.565,59.44667,-174.40333,ATL,1452,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5448,3,45.09,9,140.72,11-Jul-22,13-Jul-22,62_2018_22769_4450_192_52,59.4671810872,-174.296424028
25035,3870,2021,Charles Riley,Island Enterprise,NA,2021-07-09,193,S,NA,1,NA,2,N,16.24,111,Y,19301,*only PSS in haul. eyes intact.,NA,'25035003870000000002','25035003870000000070',521,2,PELAGIC,1,NO PROBLEM,110.45,A225,312,N,154.8,65,47,57.24167,-173.47167,57.28,-173.41833,ATL,70,B,0,9-Jul-21,62,PACIFIC SLEEPER SHARK,NA,37253,1,16.24,3,48.15,11-Jul-22,13-Jul-22,62_2021_25035_3870_193_53,57.2829944193,-173.320633491
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-07,194,S,2,2,N,NA,NA,NA,NA,N,NA,NA,NA,'22769004450000000020','22769004450000001456',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,11.57,A553,135,N,1648.8,66,NA,59.32,-174.69667,59.46333,-174.53333,ATL,1456,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5496,2,32.16,6,93.81,11-Jul-22,13-Jul-22,62_2018_22769_4450_194_54,59.5054075492,-174.642508747
25007,4063,2021,Alyssa Lambert,Northern Hawk,NA,2021-06-27,201,S,NA,NA,NA,2,N,23.1,118,Y,1002795,NA,NA,'25007004063000000002','25007004063000000050',521,2,PELAGIC,1,NO PROBLEM,106.15,A282,341,N,435,57,45,57.495,-172.335,57.69333,-172.14,ATL,50,B,0,27-Jun-21,62,PACIFIC SLEEPER SHARK,NA,33406,1,23.1,3,73.4,11-Jul-22,13-Jul-22,62_2021_25007_4063_201_55,57.756543632,-172.068001569
25007,4063,2021,Alyssa Lambert,Northern Hawk,NA,2021-06-28,206,M,NA,NA,NA,2,N,NA,152,N,NA,*too large for FS or MCP. Used L/W table (has 69.5 listed as weight),NA,'25007004063000000002','25007004063000000055',521,2,PELAGIC,1,NO PROBLEM,55.04,A282,341,N,225,56,46,57.92167,-172.49833,57.90167,-172.56833,ATL,55,B,0,28-Jun-21,62,PACIFIC SLEEPER SHARK,NA,10953,1,69.5,1,69.5,11-Jul-22,13-Jul-22,62_2021_25007_4063_206_56,57.9728741947,-172.487402234
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-07-12,208,M,9,2,NA,NA,NA,NA,NA,N,NA,"Deck sheet pg. 187, 189",NA,'23561004578000000046','23561004578000002620',521,8,LONGLINER,1,NO PROBLEM,9.42,A617,136,N,925.2,73,NA,59.74,-175.485,59.62,-176.00833,ATL,2620,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7908,2,35.34,7,129.58,11-Jul-22,13-Jul-22,62_2019_23561_4578_208_57,59.6491566225,-176.034493219
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-07-12,208,M,9,2,NA,NA,NA,NA,NA,N,NA,"Deck sheet pg. 187, 189",NA,'23561004578000000046','23561004578000002620',521,8,LONGLINER,1,NO PROBLEM,9.42,A617,136,N,925.2,73,NA,59.74,-175.485,59.62,-176.00833,ATL,2620,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7908,2,35.34,7,129.58,11-Jul-22,13-Jul-22,62_2019_23561_4578_208_58,59.6491566225,-176.034493219
24807,3367,2021,Malik Breland,Legacy,NA,2021-05-08,209,L,2,1,NA,2,N,NA,311,N,NA,The eyes were both missing (sandfleas),NA,'24807003367000000006','24807003367000000058',541,1,NON PELAGIC,1,NO PROBLEM,19,A035,132,N,301.2,280,280,53.01,-170.44,52.84667,-170.71,ATL,58,B,0,8-May-21,62,PACIFIC SLEEPER SHARK,NA,358,1,332.41,1,332.41,11-Jul-22,13-Jul-22,62_2021_24807_3367_209_59,52.8639202947,-170.621277951
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-07-13,210,M,9,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 191,NA,'23561004578000000046','23561004578000002624',521,8,LONGLINER,1,NO PROBLEM,6.65,A617,136,N,898.8,73,NA,59.58333,-175.77167,59.58333,-175.21833,ATL,2624,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7884,1,17.67,4,64.79,11-Jul-22,13-Jul-22,62_2019_23561_4578_210_60,59.5791193469,-175.337004905
23647,3681,2019,Andrew Douventzidis,American Dynasty,NA,2019-07-08,210,S,NA,1,NA,1,NA,13.12,NA,N,NA,Measure to cloaca: 76,NA,'23647003681000000014','23647003681000000776',521,2,PELAGIC,1,NO PROBLEM,47.03,A074,272,N,229.8,61,45,57.26833,-173.01833,57.25333,-172.975,ATL,776,B,100,8-Jul-19,62,PACIFIC SLEEPER SHARK,NA,12005,1,13.12,4,51.23,11-Jul-22,13-Jul-22,62_2019_23647_3681_210_61,57.2412617872,-172.99752791
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-07-21,215,L,10,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 211,NA,'23561004578000000047','23561004578000002634',521,8,LONGLINER,1,NO PROBLEM,6.34,A617,136,N,715.2,51,NA,57.46667,-171.43833,57.32,-171.09167,ATL,2634,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7896,1,17.67,3,55.96,11-Jul-22,13-Jul-22,62_2019_23561_4578_215_62,57.3196094209,-171.244516736
25052,3261,2021,Tory Roricheaux (?),Northern Eagle,NA,2021-07-14,231,S,NA,1,NA,2,NA,7.42,106,NA,NA,only one in haul,NA,'25052003261000000003','25052003261000000061',517,2,PELAGIC,1,NO PROBLEM,124.58,A041,341,N,334.8,58,39,55.36667,-165.02333,55.51833,-165.31833,ATL,61,B,0,4-Feb-22,62,PACIFIC SLEEPER SHARK,NA,25565,1,7.42,5,36.16,11-Jul-22,13-Jul-22,62_2021_25052_3261_231_63,55.4619103562,-165.333336737
24835,5822,2021,Jason Ratchford,Enterprise,NA,2021-05-07,231,S,NA,1,NA,1,Y,4.88,65,Y,69420,*small shark*,NA,'24835005822000000006','24835005822000000069',517,1,NON PELAGIC,2,CRAB POT IN HAUL,12,A639,120,N,279,201,201,54.78333,-167.05,54.9,-167.35,ATL,69,B,0,7-May-21,62,PACIFIC SLEEPER SHARK,NA,221,1,4.88,1,4.88,11-Jul-22,13-Jul-22,62_2021_24835_5822_231_64,54.8788355793,-167.354892166
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-02,233,M,9,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 259,NA,'23561004578000000048','23561004578000002670',521,8,LONGLINER,1,NO PROBLEM,11.74,A617,136,N,1252.2,57,NA,58.50167,-172.735,58.74333,-172.475,ATL,2670,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7812,1,17.67,4,61.85,11-Jul-22,13-Jul-22,62_2019_23561_4578_233_65,58.789797343,-172.62758047
24835,5822,2021,Jason Ratchford,Enterprise,NA,2021-05-07,233,S,NA,1,NA,1,Y,7.11,80,Y,42069,*small shark*,NA,'24835005822000000006','24835005822000000071',517,1,NON PELAGIC,1,NO PROBLEM,11.13,A639,120,N,253.2,210,210,54.8,-167.15,54.91667,-167.41667,ATL,71,B,0,7-May-21,62,PACIFIC SLEEPER SHARK,NA,260,1,7.11,1,7.11,11-Jul-22,13-Jul-22,62_2021_24835_5822_233_66,54.8788355793,-167.354892166
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-03,235,M,2,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 265,NA,'23561004578000000048','23561004578000002674',521,8,LONGLINER,1,NO PROBLEM,11.25,A617,136,N,1506,60,NA,58.88333,-173.36833,58.87667,-173.34,ATL,2674,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7812,1,17.67,4,61.85,11-Jul-22,13-Jul-22,62_2019_23561_4578_235_67,58.874174162,-173.302967705
25035,3870,2021,Charles Riley,Island Enterprise,NA,2021-08-01,242,L,NA,1,NA,2,N,NA,290,Y,24204,"*large, eyes collected",NA,'25035003870000000004','25035003870000000119',521,2,PELAGIC,1,NO PROBLEM,106.63,A225,312,N,283.8,77,65,56.58167,-171.89167,56.56833,-171.98333,ATL,119,B,0,1-Aug-21,62,PACIFIC SLEEPER SHARK,NA,31200,1,268.58,1,268.58,11-Jul-22,13-Jul-22,62_2021_25035_3870_242_68,56.6377115405,-172.086306081
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-10,244,L,9,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 289,NA,'23561004578000000048','23561004578000002692',521,8,LONGLINER,1,NO PROBLEM,23.25,A617,136,N,1440,62,NA,58.98333,-173.53833,58.96667,-173.55167,ATL,2692,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,19560,1,17.67,3,49.48,11-Jul-22,13-Jul-22,62_2019_23561_4578_244_69,58.9150315628,-173.641896702
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-15,254,L,9,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 311,NA,'23561004578000000048','23561004578000002712',521,8,LONGLINER,1,NO PROBLEM,6.87,A617,136,N,1153.8,60,NA,59.26833,-174.05167,59.26833,-173.60167,ATL,2712,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7830,1,17.67,3,53.01,11-Jul-22,13-Jul-22,62_2019_23561_4578_254_70,59.2168200676,-173.50440473
23647,3681,2019,Andrew Douventzidis,American Dynasty,NA,2019-07-23,254,S,NA,1,NA,1,NA,8.36,NA,N,NA,Measure to cloaca: 75,NA,'23647003681000000015','23647003681000000870',524,2,PELAGIC,1,NO PROBLEM,54.04,A074,272,N,225,142,125,60.355,-178.59167,60.16833,-178.705,ATL,870,B,100,23-Jul-19,62,PACIFIC SLEEPER SHARK,NA,17715,1,8.36,3,25.5,11-Jul-22,13-Jul-22,62_2019_23647_3681_254_71,60.1983867952,-178.758296085
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-16,256,S,9,1,NA,NA,NA,NA,NA,N,NA,Deck sheet pg. 319,NA,'23561004578000000048','23561004578000002716',521,8,LONGLINER,1,NO PROBLEM,10.77,A617,136,N,1300.2,60,NA,59.30167,-174.05167,59.30167,-174.05167,ATL,2716,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7830,1,17.67,3,58.9,11-Jul-22,13-Jul-22,62_2019_23561_4578_256_72,59.2965519505,-174.190430256
24132,5822,2020,Evan Tucker/ Nicole Eiten,Enterprise,NA,2020-05-03,258,S,NA,1,UNK,1,NA,6.77,66,Y,258-6/258-7,Both eyes collected,NA,'24132005822000000011','24132005822000000125',517,1,NON PELAGIC,1,NO PROBLEM,12.45,A639,120,N,235.2,161,161,55.4,-168.06667,55.5,-168.35,ATL,125,B,0,6-Dec-21,62,PACIFIC SLEEPER SHARK,NA,255,1,6.77,1,6.77,11-Jul-22,13-Jul-22,62_2020_24132_5822_258_73,55.5724482051,-168.44786018
23561,4578,2019,Tyler Allen,Siberian Sea,NA,2019-08-18,260,M,9,1,NA,1,NA,17.67,NA,N,NA,Deck sheet pg. 337,Total length taken,'23561004578000000048','23561004578000002724',521,8,LONGLINER,1,NO PROBLEM,12.51,A617,136,N,1267.2,59,NA,59.06667,-173.27,59.19333,-173.75167,ATL,2724,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7800,1,17.67,3,61.84,11-Jul-22,13-Jul-22,62_2019_23561_4578_260_74,59.257136744,-173.847012478
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-09-20,267,S,1,1,NA,1,NA,15.29,97,N,NA,Estimated total length 110,NA,'23802003673000000015','23802003673000001016',521,8,LONGLINER,1,NO PROBLEM,10.79,A107,135,N,1411.8,56,NA,58.87167,-172.99,58.99333,-172.57667,ATL,1016,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7920,1,15.29,3,57.68,11-Jul-22,13-Jul-22,62_2019_23802_3673_267_75,58.9616908019,-172.724140778
25114,2833,2021,Malik Breland,Alaska Mist,NA,2021-09-07,271,L,12,1,NA,NA,NA,NA,NA,NA,NA,It came about 1 foot out of the water,NA,'25114002833000000001','25114002833000000063',521,8,LONGLINER,1,NO PROBLEM,3.07,A222,174,N,823.2,60,NA,59.35667,-173.74,59.35667,-173.74,ATL,63,B,0,22-Feb-22,62,PACIFIC SLEEPER SHARK,NA,2904,1,0,3,61.82,11-Jul-22,13-Jul-22,62_2021_25114_2833_271_76,59.3880023108,-173.606661797
23605,3870,2019,Connor Fox,Island Enterprise,NA,2019-08-15,273,S,NA,1,NA,2,NA,NA,110,N,NA,NA,Tagged,'23605003870000000014','23605003870000000764',524,2,PELAGIC,1,NO PROBLEM,121.75,A225,312,N,370.2,185,160,60.305,-178.61333,60.245,-178.64167,ATL,764,B,0,15-Aug-19,62,PACIFIC SLEEPER SHARK,NA,39208,2,34.8,4,60.56,11-Jul-22,13-Jul-22,62_2019_23605_3870_273_77,60.1983867952,-178.758296085
25007,4063,2021,Alyssa Lambert,Northern Hawk,NA,2021-07-25,277,M,NA,NA,NA,2,N,NA,137,Y,1002514,*presort on deck. L/W table used (has weight as 48.70),NA,'25007004063000000004','25007004063000000126',521,2,PELAGIC,1,NO PROBLEM,137.99,A282,341,N,225,51,41,58.28167,-171.56667,58.33167,-171.83667,ATL,126,B,0,25-Jul-21,62,PACIFIC SLEEPER SHARK,NA,52695,1,48.7,1,48.7,11-Jul-22,13-Jul-22,62_2021_25007_4063_277_78,58.3568413748,-171.77250546
23647,3681,2019,Andrew Douventzidis,American Dynasty,NA,2019-08-03,281,S,NA,1,NA,2,NA,18.51,106,N,NA,NA,NA,'23647003681000000016','23647003681000000924',521,2,PELAGIC,1,NO PROBLEM,93.93,A074,272,N,364.8,105,90,59.645,-178.38667,59.94667,-178.88722,ATL,924,B,0,3-Aug-19,62,PACIFIC SLEEPER SHARK,NA,27258,1,18.51,3,63.78,11-Jul-22,13-Jul-22,62_2019_23647_3681_281_79,59.8921201405,-178.851604902
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-10-19,312,S,1,1,NA,2,NA,13.94,91,N,NA,Estimated total length 100,NA,'23802003673000000016','23802003673000001106',524,8,LONGLINER,1,NO PROBLEM,16.56,A107,135,N,1531.2,57,NA,60.4,-174.755,60.4,-175.24833,ATL,1106,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7920,1,13.94,3,57.68,11-Jul-22,13-Jul-22,62_2019_23802_3673_312_80,60.3556152716,-175.198700667
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-10-23,319,M,1,1,NA,1,NA,NA,168,N,NA,"Did not weigh, used estimated l/w table",NA,'23802003673000000016','23802003673000001120',524,8,LONGLINER,1,NO PROBLEM,16.39,A107,135,N,1612.8,57,NA,60.34167,-174.73,60.38667,-174.77167,ATL,1120,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,8160,1,42.02,3,55.98,11-Jul-22,13-Jul-22,62_2019_23802_3673_319_81,60.3188499492,-174.842970185
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-10-24,321,S,1,1,NA,2,NA,20.37,110,N,NA,Estimated tl 120cm,NA,'23802003673000000016','23802003673000001124',524,8,LONGLINER,1,NO PROBLEM,26.53,A107,135,N,1633.8,57,NA,60.36167,-174.73667,60.36167,-175.21,ATL,1124,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7920,1,20.37,3,57.68,11-Jul-22,13-Jul-22,62_2019_23802_3673_321_82,60.3556152716,-175.198700667
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-11-03,327,L,10,1,NA,NA,NA,NA,NA,N,NA,Estimated body length @ 60cm,NA,'23802003673000000017','23802003673000001136',521,8,LONGLINER,1,NO PROBLEM,19.95,A107,135,N,1428,71,NA,58.90833,-175.61833,58.82667,-176.05333,ATL,1136,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7920,1,19.03,3,57.68,11-Jul-22,13-Jul-22,62_2019_23802_3673_327_83,58.8716582443,-176.150913741
23802,3673,2019,Sara Bennet,Frontier Spirit,NA,2019-11-04,328,S,1,1,NA,2,NA,13.3,98,N,NA,Estimated precaudal length 100cm,NA,'23802003673000000017','23802003673000001138',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,19.3,A107,135,N,1468.8,71,NA,58.97,-175.48,58.89167,-175.89,ATL,1138,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,8160,1,13.3,3,55.98,11-Jul-22,13-Jul-22,62_2019_23802_3673_328_84,58.8374055341,-175.809625765
23628,3414,2019,Kevin Gillen,Starbound,NA,2019-07-07,336,S,NA,UNK,UNK,2,N,15.56,95,N,NA,NA,NA,'23628003414000000013','23628003414000000668',521,2,PELAGIC,1,NO PROBLEM,141.39,A091,300,N,280.2,71,59,58.70833,-176.345,58.77167,-176.23,ATL,668,B,0,7-Jul-19,62,PACIFIC SLEEPER SHARK,NA,44733,1,15.56,3,49.18,11-Jul-22,13-Jul-22,62_2019_23628_3414_336_85,58.7361922407,-176.37774576
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-26,337,M,hooked,3,NA,NA,NA,NA,NA,N,NA,"PSS brought up, immediately fell off upon breaking water",NA,'23516004306000000034','23516004306000003114',521,8,LONGLINER,1,NO PROBLEM,10.96,A576,180,N,558,63,NA,57.51667,-172.45167,57.51667,-172.45167,ATL,3114,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5275,3,56.12,10,190.81,11-Jul-22,13-Jul-22,62_2019_23516_4306_337_86,57.4998046118,-172.536131667
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-27,340,S,hooked,2,NA,NA,NA,NA,NA,N,NA,NA,NA,'23516004306000000034','23516004306000003120',521,8,LONGLINER,1,NO PROBLEM,9.66,A576,180,N,580.2,63,NA,57.56167,-172.63,57.56167,-172.63,ATL,3120,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,4220,1,18.71,4,79.5,11-Jul-22,13-Jul-22,62_2019_23516_4306_340_87,57.4998046118,-172.536131667
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-28,342,S,NA,2,NA,2,NA,16.94,NA,N,NA,Took total length: 122cm,NA,'23516004306000000034','23516004306000003124',521,8,LONGLINER,1,NO PROBLEM,8.87,A576,180,N,822,63,NA,57.38167,-172.66167,57.38167,-172.66167,ATL,3124,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,4508,1,16.94,3,65.47,11-Jul-22,13-Jul-22,62_2019_23516_4306_342_88,57.3707566551,-172.767665221
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-28,342,S,NA,2,NA,1,NA,NA,NA,N,NA,Took total length: 119cm,NA,'23516004306000000034','23516004306000003124',521,8,LONGLINER,1,NO PROBLEM,8.87,A576,180,N,822,63,NA,57.38167,-172.66167,57.38167,-172.66167,ATL,3124,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,4508,1,16.94,3,65.47,11-Jul-22,13-Jul-22,62_2019_23516_4306_342_89,57.3707566551,-172.767665221
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-28,343,M,NA,1,NA,NA,NA,NA,NA,N,NA,NA,NA,'23516004306000000034','23516004306000003126',521,8,LONGLINER,1,NO PROBLEM,9.57,A576,180,N,717,64,NA,57.375,-172.72833,57.375,-172.72833,ATL,3126,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,5635,1,18.71,3,63.6,11-Jul-22,13-Jul-22,62_2019_23516_4306_343_90,57.3707566551,-172.767665221
24920,3414,2021,Deliska Pollara,Starbound,NA,2021-07-24,344,S,NA,NA,NA,1,Y,19.5,94,N,NA,Still alive,NA,'24920003414000000004','24920003414000000129',521,2,PELAGIC,1,NO PROBLEM,98.86,A091,300,N,112.8,55,42,58.075,-172.83667,58.06333,-172.84667,ATL,129,B,0,24-Jul-21,62,PACIFIC SLEEPER SHARK,NA,25124,1,19.5,4,76.73,11-Jul-22,13-Jul-22,62_2021_24920_3414_344_91,58.0159073322,-172.816642348
23516,4306,2019,Derek Miller,Alaska Lady,NA,2019-08-29,345,S,NA,1,NA,2,NA,12.36,NA,N,NA,NA,NA,'23516004306000000034','23516004306000003130',521,8,LONGLINER,1,NO PROBLEM,7.54,A576,180,N,901.8,64,NA,57.4,-172.75833,57.4,-172.75833,ATL,3130,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,4508,1,12.36,4,70.15,11-Jul-22,13-Jul-22,62_2019_23516_4306_345_92,57.3707566551,-172.767665221
25007,4063,2021,Alyssa Lambert,Northern Hawk,NA,2021-08-19,354,S,NA,NA,NA,1,Y,15.68,110,Y,1002513,*weighed on mcp,NA,'25007004063000000005','25007004063000000203',521,2,PELAGIC,1,NO PROBLEM,117.47,A282,341,N,79.8,56,46,58.07167,-172.68,57.99,-172.72,ATL,203,B,0,19-Aug-21,62,PACIFIC SLEEPER SHARK,NA,38024,1,15.68,3,48.44,11-Jul-22,13-Jul-22,62_2021_25007_4063_354_93,58.0159073322,-172.816642348
23898,372,2019,Parry McClure,US Liberator,NA,2019-11-09,358,S,12,1,NA,NA,NA,NA,NA,N,NA,NA,NA,'23898000372000000020','23898000372000001040',524,8,LONGLINER,5,OTHER PROBLEM,16.6,A023,162,N,1011,74,NA,60.78333,-176.86667,60.78333,-176.86667,ATL,1040,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7836,1,13.36,4,46.76,11-Jul-22,13-Jul-22,62_2019_23898_372_358_94,60.8301028336,-176.876034614
